"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Bridging Text and Knowledge: Explainable AI for Knowledge Graph Classification and Concept Map-Based Semantic Domain Discovery with OBOE …","https://scispace.com/paper/qrl4ouSfML4J","","","","RA del Águila Escobar","","","… Explainable Artificial Intelligence (XAI) has primarily focused on explaining model predictions, yet a critical gap remains in explaining semantic structure discovery within knowledge …",""
"Utilizing BERTopic Modeling for Concept Discovery in the Domain of Gerotranscendence and Solitude.","https://scispace.com/paper/utilizing-bertopic-modeling-for-concept-discovery-in-the-pmu0gn4lgs1p","2025","Journal Article","","B. Damayanthi Jesudas
Finn Wilson
Rachel A. Mavrovich
Sean Kindya
Feng-Yu Yeh
Sam Smith
Jeremy Ravenel
Jie Zheng
Yongqun He
Hollen N. Reischer
Julie C. Bowker
John Beverley
William D. Duncan","10.21203/rs.3.rs-7383440/v1","https://pdfs.semanticscholar.org/935e/2bac6bd12a7899ebfcfe935cfb7f7734a290.pdf","… We use topic and language models for ontology population … ], facilitating more e cient structure discovery. Clustering is then … vectors to cluster semantically similar documents, with each …","Background. Ontology development is a complex, iterative process that traditionally requires extensive collaboration between ontology developers and subject matter experts (SMEs). While effective, this manual approach is time-consuming, labor-intensive, and prone to cognitive bias. To streamline early-stage ontology development and uncover concepts that might be overlooked through manual review alone, we applied automated topic modeling with BERTopic to extract topics, keywords, topic labels, and summaries from The Handbook of Solitude: Psychological Perspectives on Social Isolation, Social Withdrawal, and Being Alone and Gerotranscendence: A Developmental Theory of Positive Aging . The extracted topic labels were used as candidate concepts for the Promoting Healthy Aging through Semantic Enrichment of Solitude Research (PHASES) Ontology. Methods. We implemented and compared two BERTopic pipelines: (1) the default configuration and (2) a custom preprocessing pipeline incorporating part-of-speech filtering and n-gram tuning.The pipeline is customized to flexibly extract any specified number of topics and keywords based on user-defined parameters. To compare and merge topic modeling outputs across solitude and gerotranscendence, we used semantic embeddings of topic labels, keywords, and summaries from the custom pipeline. Cosine similarity identified semantically matched topic pairs above a set threshold, enabling categorization and integration into a merged conceptual framework that bridges both domains. Results. From the solitude corpus, BERTopic generated 244 initial topics, which SME review refined to 32 high-quality topics with the custom pipeline and 46 with the default pipeline. For the gerotranscendence corpus, the pipeline produced 172 initial topics, refined to 33 (custom) and 32 (default) high-quality topics. Across both corpora, BERTopic contributed 90 ontology terms, 52 from the solitude corpus and 38 from the gerotranscendence corpus. Visual evaluations, including keyword score bar charts, hierarchical clustering dendrograms, and BART-generated summaries, revealed that the custom pipeline produced more fine-grained, domain-specific topics, while the default pipeline offered broader thematic coverage and clearer labels. Certain theory-laden concepts, however, required SME interpretive input. Conclusions. BERTopic provided an efficient, semi-automated approach for identifying candidate ontology terms from domain literature, supporting both breadth and specificity in concept capture. Integrating semantic similarity analysis across thematic domains revealed conceptual intersections and overlaps, enhancing the semantic foundation of the PHASES Ontology and offering a replicable method for cross-domain ontology development. "
"Towards open-domain event understanding","https://scispace.com/paper/UMXv9Cd5IxcJ","","","","S Li","","https://www.ideals.illinois.edu/items/134344/bitstreams/442395/data.pdf","… We present a new paradigm for event graph schema induction which is open-domain, annotation-free, and extensible. In Chapter 6, we review the entire thesis and discuss two possible …",""
